,total_bill,tip,sex,smoker,day,time,size,sexFactor,smokerFactor,dayFactor,timeFactor
201,12.74,2.01,Female,Yes,Thur,Lunch,2,0,1,2,1
47,32.4,6.0,Male,No,Sun,Dinner,4,1,0,0,0
174,16.82,4.0,Male,Yes,Sun,Dinner,2,1,1,0,0
168,10.59,1.61,Female,Yes,Sat,Dinner,2,0,1,1,0
126,8.52,1.48,Male,No,Thur,Lunch,2,1,0,2,1
238,35.83,4.67,Female,No,Sat,Dinner,3,0,0,1,0
199,13.51,2.0,Male,Yes,Thur,Lunch,2,1,1,2,1
14,14.83,3.02,Female,No,Sun,Dinner,2,0,0,0,0
173,31.85,3.18,Male,Yes,Sun,Dinner,2,1,1,0,0
108,18.24,3.76,Male,No,Sat,Dinner,2,1,0,1,0
170,50.81,10.0,Male,Yes,Sat,Dinner,3,1,1,1,0
24,19.82,3.18,Male,No,Sat,Dinner,2,1,0,1,0
69,15.01,2.09,Male,Yes,Sat,Dinner,2,1,1,1,0
93,16.32,4.3,Female,Yes,Fri,Dinner,2,0,1,3,0
162,16.21,2.0,Female,No,Sun,Dinner,3,0,0,0,0
204,20.53,4.0,Male,Yes,Thur,Lunch,4,1,1,2,1
110,14.0,3.0,Male,No,Sat,Dinner,2,1,0,1,0
95,40.17,4.73,Male,Yes,Fri,Dinner,4,1,1,3,0
65,20.08,3.15,Male,No,Sat,Dinner,3,1,0,1,0
56,38.01,3.0,Male,Yes,Sat,Dinner,4,1,1,1,0
132,11.17,1.5,Female,No,Thur,Lunch,2,0,0,2,1
99,12.46,1.5,Male,No,Fri,Dinner,2,1,0,3,0
145,8.35,1.5,Female,No,Thur,Lunch,2,0,0,2,1
68,20.23,2.01,Male,No,Sat,Dinner,2,1,0,1,0
60,20.29,3.21,Male,Yes,Sat,Dinner,2,1,1,1,0
211,25.89,5.16,Male,Yes,Sat,Dinner,4,1,1,1,0
116,29.93,5.07,Male,No,Sun,Dinner,4,1,0,0,0
225,16.27,2.5,Female,Yes,Fri,Lunch,2,0,1,3,1
80,19.44,3.0,Male,Yes,Thur,Lunch,2,1,1,2,1
151,13.13,2.0,Male,No,Sun,Dinner,2,1,0,0,0
30,9.55,1.45,Male,No,Sat,Dinner,2,1,0,1,0
6,8.77,2.0,Male,No,Sun,Dinner,2,1,0,0,0
79,17.29,2.71,Male,No,Thur,Lunch,2,1,0,2,1
27,12.69,2.0,Male,No,Sat,Dinner,2,1,0,1,0
38,18.69,2.31,Male,No,Sat,Dinner,3,1,0,1,0
130,19.08,1.5,Male,No,Thur,Lunch,2,1,0,2,1
187,30.46,2.0,Male,Yes,Sun,Dinner,5,1,1,0,0
37,16.93,3.07,Female,No,Sat,Dinner,3,0,0,1,0
11,35.26,5.0,Female,No,Sun,Dinner,4,0,0,0,0
242,17.82,1.75,Male,No,Sat,Dinner,2,1,0,1,0
114,25.71,4.0,Female,No,Sun,Dinner,3,0,0,0,0
182,45.35,3.5,Male,Yes,Sun,Dinner,3,1,1,0,0
160,21.5,3.5,Male,No,Sun,Dinner,4,1,0,0,0
119,24.08,2.92,Female,No,Thur,Lunch,4,0,0,2,1
70,12.02,1.97,Male,No,Sat,Dinner,2,1,0,1,0
207,38.73,3.0,Male,Yes,Sat,Dinner,4,1,1,1,0
82,10.07,1.83,Female,No,Thur,Lunch,1,0,0,2,1
129,22.82,2.18,Male,No,Thur,Lunch,3,1,0,2,1
87,18.28,4.0,Male,No,Thur,Lunch,2,1,0,2,1
46,22.23,5.0,Male,No,Sun,Dinner,2,1,0,0,0
